name,propertyName,rental,pricePerSizeUnitBuiltUp,address,lat,lng,city,district,bedrooms,bathrooms,builtUp,carParks,furnishing,postedDate,buildingId,unitType,propertyType
"M City, Ampang",M City,1300,2.44,"Jalan Ampang, Ampang, 50450, Kuala Lumpur",3.15934,101.746861,Kuala Lumpur,Ampang,Studio,1.0,533.0,1.0,Fully furnished,2021-05-13T05:37:19.004Z,2247.0,,Serviced Residence
"M City, Ampang",M City,1550,1.98,"Jalan Ampang, Ampang, 50450, Kuala Lumpur",3.15934,101.746861,Kuala Lumpur,Ampang,1,1.0,781.0,1.0,Fully furnished,2021-05-13T05:35:23.069Z,2247.0,,Serviced Residence
"M City, Ampang",M City,1800,2.3,"Jalan Ampang, Ampang, 50450, Kuala Lumpur",3.15934,101.746861,Kuala Lumpur,Ampang,1,1.0,781.0,1.0,Fully furnished,2021-05-13T05:33:01.874Z,2247.0,,Serviced Residence
"M City, Ampang",M City,2200,2.25,"Jalan Ampang, Ampang, 50450, Kuala Lumpur",3.15934,101.746861,Kuala Lumpur,Ampang,2,2.0,977.0,2.0,Fully furnished,2021-05-13T05:31:28.698Z,2247.0,Intermediate,Serviced Residence
"Arte Plus, Ampang",Arte Plus,1350,2.58,"Jalan Ampang Ulu 3, Ampang, 55000, Kuala Lumpur",3.161645,101.747562,Kuala Lumpur,Ampang,1,1.0,523.0,1.0,Fully furnished,2021-05-12T02:36:11.074Z,3560.0,,Condominium
"Arte Plus, Ampang",Arte Plus,1600,1.95,"Jalan Ampang Ulu 3, Ampang, 55000, Kuala Lumpur",3.161645,101.747562,Kuala Lumpur,Ampang,2,2.0,820.0,1.0,Fully furnished,2021-05-11T19:09:20.309Z,3560.0,,Condominium
"M City, Ampang",M City,2200,2.25,"Jalan Ampang, Ampang, 50450, Kuala Lumpur",3.15934,101.746861,Kuala Lumpur,Ampang,2,2.0,977.0,1.0,Fully furnished,2021-05-11T17:23:23.168Z,2247.0,Intermediate,Serviced Residence
"Arte Plus, Ampang",Arte Plus,1550,2.38,"Jalan Ampang Ulu 3, Ampang, 55000, Kuala Lumpur",3.161645,101.747562,Kuala Lumpur,Ampang,2,1.0,650.0,1.0,Fully furnished,2021-05-11T16:01:52.792Z,3560.0,,Condominium
"Arte Plus, Ampang",Arte Plus,1650,2.23,"Jalan Ampang Ulu 3, Ampang, 55000, Kuala Lumpur",3.161645,101.747562,Kuala Lumpur,Ampang,2,2.0,739.0,1.0,Fully furnished,2021-05-11T15:56:38.285Z,3560.0,,Condominium
"Arte Plus, Ampang",Arte Plus,2050,2.33,"Jalan Ampang Ulu 3, Ampang, 55000, Kuala Lumpur",3.161645,101.747562,Kuala Lumpur,Ampang,3,2.0,880.0,1.0,Fully furnished,2021-05-11T15:51:31.197Z,3560.0,,Condominium
"Astoria Ampang, Ampang",Astoria Ampang,2300,2.59,"Jalan Ampang Kiri Off Jalan Ampang, Ampang, 55000, Kuala Lumpur",3.162498,101.747596,Kuala Lumpur,Ampang,2,2.0,888.0,2.0,Fully furnished,2021-05-11T14:27:53.409Z,4009.0,,Serviced Residence
"M City, Ampang",M City,1300,2.6,"Jalan Ampang, Ampang, 50450, Kuala Lumpur",3.15934,101.746861,Kuala Lumpur,Ampang,1,1.0,500.0,1.0,Fully furnished,2021-05-11T14:26:46.095Z,2247.0,,Serviced Residence
"Astoria Ampang, Ampang",Astoria Ampang,3100,2.95,"Jalan Ampang Kiri Off Jalan Ampang, Ampang, 55000, Kuala Lumpur",3.162498,101.747596,Kuala Lumpur,Ampang,3,2.0,1050.0,2.0,Fully furnished,2021-05-11T14:24:00.411Z,4009.0,,Serviced Residence
"Arte Plus, Ampang",Arte Plus,1800,2.65,"Jalan Ampang Ulu 3, Ampang, 55000, Kuala Lumpur",3.161645,101.747562,Kuala Lumpur,Ampang,2,2.0,679.0,1.0,Fully furnished,2021-05-11T11:07:06.801Z,3560.0,Intermediate,Condominium
